run_id,time_step,period,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,num_corrupted,num_honest,corruption_rate,collaboration_rate,belief_cutoff
0,45,46,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.705,0.026516901337516833
0,46,47,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.705,0.026526008755674672
0,47,48,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.705,0.026536135449285982
0,48,49,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.705,0.02654739640335273
0,49,50,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.705,0.02655991978919785
0,50,51,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026573848527294993
0,51,52,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026589342047208978
0,52,53,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026606578272259363
0,53,54,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026625755861006607
0,54,55,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026647096743008546
0,55,56,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026670848992698074
0,56,57,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026697290092931522
0,57,58,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02672673064905654
0,58,59,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026759518625632018
0,59,60,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02679604419169084
0,60,61,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02683674527729303
0,61,62,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02688211396487596
0,62,63,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02693270386460616
0,63,64,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.026989138654921512
0,64,65,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02705212200948576
0,65,66,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027122449182177693
0,66,67,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027201020585578047
0,67,68,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.02728885777980084
0,68,69,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027387122392959814
0,69,70,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027497138629550444
0,70,71,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027620420198802988
0,71,72,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027758702725761756
0,72,73,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.71,0.027913983013186962
